N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,15.424977,nan,5.249065,4.692341,1.696957,1.080029,1.324501
5090000,656.625862,nan,220.743190,221.958142,71.296667,45.290833,57.487820
10080000,1310.523779,nan,445.926657,439.512869,148.127186,100.545963,164.270571
15070000,1942.379466,nan,677.868279,653.214855,206.843940,153.475479,237.981969
20060000,2558.456325,nan,882.334487,853.221134,274.594153,204.699797,323.245301
25050000,3183.364670,nan,1080.243298,1076.496627,350.207284,250.019822,408.035836
30040000,3836.144287,nan,1304.446677,1293.856225,420.565280,305.326416,481.106154
35030000,4478.083024,nan,1515.014268,1518.537061,496.679230,360.699765,566.716678
40020000,5041.674129,nan,1685.014664,1742.103146,552.427172,413.242506,639.201990
45010000,6040.983598,nan,1960.946227,2080.053828,642.195064,531.153102,679.058950
50000000,6626.477032,nan,2168.146209,2329.581754,726.933609,516.969772,764.274040
