N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,14.967749,nan,6.220277,4.911069,1.010112,0.901616,1.210225
5090000,704.764737,nan,215.444813,253.055838,76.682432,41.891921,41.932488
10080000,1270.226981,nan,427.444753,506.494872,76.047093,94.512413,73.051417
15070000,1999.304975,nan,657.631792,813.207377,172.855858,141.953804,113.803175
20060000,2699.868710,nan,867.764185,1031.621095,292.909398,190.702703,110.282671
25050000,3124.348479,nan,1027.817883,1248.819394,254.130586,234.959477,175.260980
30040000,3825.053466,nan,1352.349798,1550.443218,285.210264,280.458553,221.078195
35030000,4568.704987,nan,1568.235085,1854.975457,401.610216,327.316658,317.517754
40020000,5159.870118,nan,1825.587318,2101.496384,370.591172,374.160701,351.489296
45010000,5438.219191,nan,1850.782964,2353.326021,486.619415,419.036731,251.425870
50000000,6441.536762,nan,2107.673112,2587.146998,621.334594,465.919944,395.731255
