N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,6.383336,nan,0.779163,2.663364,0.262631,1.316429,0.239548
5090000,219.433841,nan,30.535024,115.271893,7.702925,52.074388,7.022932
10080000,442.674060,nan,61.739596,235.275682,15.323705,115.050854,13.696042
15070000,656.108248,nan,84.795196,348.694499,23.362621,173.068156,20.508048
20060000,888.179820,nan,125.691081,461.061219,29.654937,231.112220,27.183930
25050000,1112.466706,nan,167.422248,572.611495,36.996182,283.365013,33.642427
30040000,1337.309159,nan,185.279360,689.600181,44.411025,341.918110,40.163741
35030000,1554.012793,nan,231.124605,806.303325,51.491969,397.094466,46.857840
40020000,1776.928410,nan,260.752810,911.878301,59.288875,451.077737,53.884569
45010000,1972.347601,nan,292.681304,1009.360241,69.440992,510.202840,59.824805
50000000,2204.483947,nan,329.051811,1122.850635,84.110142,565.325326,66.625649
