N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,7.233530,nan,1.298863,3.382102,0.414497,1.198643,0.302515
5090000,296.220901,nan,56.311501,163.966301,15.818385,46.203440,11.494980
10080000,607.677067,nan,111.657923,326.958232,31.544004,103.505805,22.758551
15070000,905.548196,nan,167.105941,499.960980,46.731190,156.925634,33.780357
20060000,1257.135750,nan,235.329765,682.505446,62.294110,207.309026,45.874755
25050000,1519.539912,nan,279.321686,829.740115,77.687500,261.844399,56.692642
30040000,1824.815911,nan,343.058150,986.267942,93.910977,310.090823,67.700567
35030000,2185.070390,nan,428.820707,1155.030822,108.824572,361.307586,78.529662
40020000,2429.042081,nan,458.176983,1314.244508,124.863456,411.846750,89.869025
45010000,2781.815527,nan,535.078266,1504.263435,140.118231,461.758495,101.137342
50000000,3049.086634,nan,570.632906,1637.977389,156.903025,517.536381,113.457926
