N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,5.751534,nan,1.005297,3.191248,0.304933,0.877524,0.225533
5090000,276.223121,nan,43.702883,164.669392,11.296913,40.893186,7.630823
10080000,530.719491,nan,84.654537,310.718227,21.857528,94.026257,15.153768
15070000,806.562413,nan,137.229298,455.164744,33.978222,144.968011,22.657053
20060000,1061.928605,nan,167.779862,615.507225,44.152877,189.105110,29.748978
25050000,1347.261158,nan,209.605075,764.166790,56.152008,236.212191,37.232548
30040000,1598.594093,nan,263.907554,926.559873,66.154818,283.077650,44.702147
35030000,1882.865819,nan,338.991230,1067.711471,75.707987,329.152993,51.905778
40020000,2126.290212,nan,345.844592,1229.974307,89.716993,371.314860,59.842390
45010000,2479.794571,nan,419.935469,1385.375177,99.554442,424.897692,67.525340
50000000,2678.551042,nan,448.439952,1542.828058,110.712384,469.463330,75.261004
